variant,probe,expected,observed,pass
B0,policy_with_basis,policy,policy,1
B0,policy_without_basis,evidence,policy,0
B0,missing_live_continuing,evidence,,0
B0,missing_live_one_shot,,,1
B0,unapproved_rollback,intent|authorization,authorization,0
B0,approved_nonstandard_environment,,environment,0
B1,policy_with_basis,policy,policy,1
B1,policy_without_basis,evidence,policy|evidence,0
B1,missing_live_continuing,evidence,evidence,1
B1,missing_live_one_shot,,evidence,0
B1,unapproved_rollback,intent|authorization,authorization,0
B1,approved_nonstandard_environment,,environment,0
B2,policy_with_basis,policy,policy,1
B2,policy_without_basis,evidence,policy|evidence,0
B2,missing_live_continuing,evidence,evidence,1
B2,missing_live_one_shot,,,1
B2,unapproved_rollback,intent|authorization,authorization,0
B2,approved_nonstandard_environment,,environment,0
B3,policy_with_basis,policy,policy,1
B3,policy_without_basis,evidence,policy|evidence,0
B3,missing_live_continuing,evidence,evidence,1
B3,missing_live_one_shot,,,1
B3,unapproved_rollback,intent|authorization,intent|authorization,1
B3,approved_nonstandard_environment,,environment,0
B4,policy_with_basis,policy,policy,1
B4,policy_without_basis,evidence,evidence,1
B4,missing_live_continuing,evidence,evidence,1
B4,missing_live_one_shot,,,1
B4,unapproved_rollback,intent|authorization,intent|authorization,1
B4,approved_nonstandard_environment,,,1
B0,pending_does_not_replace,G3,G4,0
B0,aborted_does_not_replace,G3,G4,0
B0,parallel_activation_is_ambiguous,evidence,G4,0
B0,activated_successor_replaces,G4,G4,1
B1,pending_does_not_replace,G3,G4,0
B1,aborted_does_not_replace,G3,G4,0
B1,parallel_activation_is_ambiguous,evidence,G4,0
B1,activated_successor_replaces,G4,G4,1
B2,pending_does_not_replace,G3,G4,0
B2,aborted_does_not_replace,G3,G4,0
B2,parallel_activation_is_ambiguous,evidence,G4,0
B2,activated_successor_replaces,G4,G4,1
B3,pending_does_not_replace,G3,G4,0
B3,aborted_does_not_replace,G3,G4,0
B3,parallel_activation_is_ambiguous,evidence,G4,0
B3,activated_successor_replaces,G4,G4,1
B4,pending_does_not_replace,G3,G3,1
B4,aborted_does_not_replace,G3,G3,1
B4,parallel_activation_is_ambiguous,evidence,evidence,1
B4,activated_successor_replaces,G4,G4,1
