variant,scenario,seed,detected,observed,exact,hamming_loss,false_alarm_events
B0,S1,0,1,configuration,1,0.0,0
B0,S1,1,1,configuration,1,0.0,0
B0,S1,2,1,configuration,1,0.0,0
B0,S1,3,1,configuration,1,0.0,0
B0,S1,4,1,configuration,1,0.0,0
B0,S1,5,1,configuration,1,0.0,0
B0,S1,6,1,configuration,1,0.0,0
B0,S1,7,1,configuration,1,0.0,0
B0,S1,8,1,configuration,1,0.0,0
B0,S1,9,1,configuration,1,0.0,0
B0,S1,10,1,configuration,1,0.0,0
B0,S1,11,1,configuration,1,0.0,0
B0,S1,12,1,configuration,1,0.0,0
B0,S1,13,1,configuration,1,0.0,0
B0,S1,14,1,configuration,1,0.0,0
B0,S1,15,1,configuration,1,0.0,0
B0,S1,16,1,configuration,1,0.0,0
B0,S1,17,1,configuration,1,0.0,0
B0,S1,18,1,configuration,1,0.0,0
B0,S1,19,1,configuration,1,0.0,0
B0,S2,0,1,authorization,1,0.0,0
B0,S2,1,1,authorization,1,0.0,0
B0,S2,2,1,authorization,1,0.0,0
B0,S2,3,1,authorization,1,0.0,0
B0,S2,4,1,authorization,1,0.0,0
B0,S2,5,1,authorization,1,0.0,0
B0,S2,6,1,authorization,1,0.0,0
B0,S2,7,1,authorization,1,0.0,0
B0,S2,8,1,authorization,1,0.0,0
B0,S2,9,1,authorization,1,0.0,0
B0,S2,10,1,authorization,1,0.0,0
B0,S2,11,1,authorization,1,0.0,0
B0,S2,12,1,authorization,1,0.0,0
B0,S2,13,1,authorization,1,0.0,0
B0,S2,14,1,authorization,1,0.0,0
B0,S2,15,1,authorization,1,0.0,0
B0,S2,16,1,authorization,1,0.0,0
B0,S2,17,1,authorization,1,0.0,0
B0,S2,18,1,authorization,1,0.0,0
B0,S2,19,1,authorization,1,0.0,0
B0,S3,0,1,policy,1,0.0,0
B0,S3,1,1,policy,1,0.0,0
B0,S3,2,1,policy,1,0.0,0
B0,S3,3,1,policy,1,0.0,0
B0,S3,4,1,policy,1,0.0,0
B0,S3,5,1,policy,1,0.0,0
B0,S3,6,1,policy,1,0.0,0
B0,S3,7,1,policy,1,0.0,0
B0,S3,8,1,policy,1,0.0,0
B0,S3,9,1,policy,1,0.0,0
B0,S3,10,1,policy,1,0.0,0
B0,S3,11,1,policy,1,0.0,0
B0,S3,12,1,policy,1,0.0,0
B0,S3,13,1,policy,1,0.0,0
B0,S3,14,1,policy,1,0.0,0
B0,S3,15,1,policy,1,0.0,0
B0,S3,16,1,policy,1,0.0,0
B0,S3,17,1,policy,1,0.0,0
B0,S3,18,1,policy,1,0.0,0
B0,S3,19,1,policy,1,0.0,0
B0,S4,0,1,authorization,1,0.0,0
B0,S4,1,1,authorization,1,0.0,0
B0,S4,2,1,authorization,1,0.0,0
B0,S4,3,1,authorization,1,0.0,0
B0,S4,4,1,authorization,1,0.0,0
B0,S4,5,1,authorization,1,0.0,0
B0,S4,6,1,authorization,1,0.0,0
B0,S4,7,1,authorization,1,0.0,0
B0,S4,8,1,authorization,1,0.0,0
B0,S4,9,1,authorization,1,0.0,0
B0,S4,10,1,authorization,1,0.0,0
B0,S4,11,1,authorization,1,0.0,0
B0,S4,12,1,authorization,1,0.0,0
B0,S4,13,1,authorization,1,0.0,0
B0,S4,14,1,authorization,1,0.0,0
B0,S4,15,1,authorization,1,0.0,0
B0,S4,16,1,authorization,1,0.0,0
