window,control,control_name,cadence_seconds,duration_seconds,polls,alarms,false_alarm_window,observed_classes
1,C1,satisfied policy revision,0.5,10.5,21,0,False,
1,C1,satisfied policy revision,2.0,10.5,5,0,False,
1,C1,satisfied policy revision,10.0,10.5,1,0,False,
2,C2,approved rollback,0.5,10.5,21,0,False,
2,C2,approved rollback,2.0,10.5,5,0,False,
2,C2,approved rollback,10.0,10.5,1,0,False,
3,C3,exception removed at expiry,0.5,10.5,21,0,False,
3,C3,exception removed at expiry,2.0,10.5,6,0,False,
3,C3,exception removed at expiry,10.0,10.5,1,0,False,
4,C4,approved artifact re-tag,0.5,10.5,21,0,False,
4,C4,approved artifact re-tag,2.0,10.5,5,0,False,
4,C4,approved artifact re-tag,10.0,10.5,1,0,False,
5,C5,autoscaling replica change,0.5,10.5,21,0,False,
5,C5,autoscaling replica change,2.0,10.5,5,0,False,
5,C5,autoscaling replica change,10.0,10.5,1,0,False,
6,C6,legitimate rollout restart,0.5,10.5,21,0,False,
6,C6,legitimate rollout restart,2.0,10.5,5,0,False,
6,C6,legitimate rollout restart,10.0,10.5,1,0,False,
7,C1,satisfied policy revision,0.5,10.5,21,0,False,
7,C1,satisfied policy revision,2.0,10.5,5,0,False,
7,C1,satisfied policy revision,10.0,10.5,1,0,False,
8,C2,approved rollback,0.5,10.5,21,0,False,
8,C2,approved rollback,2.0,10.5,5,0,False,
8,C2,approved rollback,10.0,10.5,1,0,False,
9,C3,exception removed at expiry,0.5,10.5,21,0,False,
9,C3,exception removed at expiry,2.0,10.5,6,0,False,
9,C3,exception removed at expiry,10.0,10.5,2,0,False,
10,C4,approved artifact re-tag,0.5,10.5,21,0,False,
10,C4,approved artifact re-tag,2.0,10.5,5,0,False,
10,C4,approved artifact re-tag,10.0,10.5,1,0,False,
11,C5,autoscaling replica change,0.5,10.5,21,0,False,
11,C5,autoscaling replica change,2.0,10.5,5,0,False,
11,C5,autoscaling replica change,10.0,10.5,1,0,False,
12,C6,legitimate rollout restart,0.5,10.5,21,0,False,
12,C6,legitimate rollout restart,2.0,10.5,5,0,False,
12,C6,legitimate rollout restart,10.0,10.5,1,0,False,
13,C1,satisfied policy revision,0.5,10.5,21,0,False,
13,C1,satisfied policy revision,2.0,10.5,5,0,False,
13,C1,satisfied policy revision,10.0,10.5,1,0,False,
14,C2,approved rollback,0.5,10.5,21,0,False,
14,C2,approved rollback,2.0,10.5,5,0,False,
14,C2,approved rollback,10.0,10.5,1,0,False,
15,C3,exception removed at expiry,0.5,10.5,21,0,False,
15,C3,exception removed at expiry,2.0,10.5,5,0,False,
15,C3,exception removed at expiry,10.0,10.5,1,0,False,
16,C4,approved artifact re-tag,0.5,10.5,21,0,False,
16,C4,approved artifact re-tag,2.0,10.5,5,0,False,
16,C4,approved artifact re-tag,10.0,10.5,1,0,False,
17,C5,autoscaling replica change,0.5,10.5,21,0,False,
17,C5,autoscaling replica change,2.0,10.5,5,0,False,
17,C5,autoscaling replica change,10.0,10.5,1,0,False,
18,C6,legitimate rollout restart,0.5,10.5,21,0,False,
18,C6,legitimate rollout restart,2.0,10.5,5,0,False,
18,C6,legitimate rollout restart,10.0,10.5,1,0,False,
19,C1,satisfied policy revision,0.5,10.5,21,0,False,
19,C1,satisfied policy revision,2.0,10.5,5,0,False,
19,C1,satisfied policy revision,10.0,10.5,1,0,False,
20,C2,approved rollback,0.5,10.5,21,0,False,
20,C2,approved rollback,2.0,10.5,5,0,False,
20,C2,approved rollback,10.0,10.5,1,0,False,
