repeat,scenario,cadence_seconds,phase_seconds,evaluator_tier,evaluation_scope,expected_class_set,observed_verdict,observed_class,observed_class_set,undecidable_components,detection_rate_hit,first_priority_correct,classification_correct,hamming_loss,polls,injection_started_utc,onset_observed_utc,actuation_seconds,ddl_seconds,end_to_end_seconds,tte_seconds,evidence_semantics
1,S1,0.5,0.17518214733362036,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:53:17.383629+00:00,2026-08-07T23:53:17.439898+00:00,0.05626704217866063,0.37642145808786154,0.43268850026652217,0.376462290994823,minimal synchronous verdict bundle
1,S1,2.0,1.5158653865192677,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:53:17.383629+00:00,2026-08-07T23:53:17.439898+00:00,0.05626704217866063,1.7117535411380231,1.7680205833166838,1.7118084160611033,minimal synchronous verdict bundle
1,S1,10.0,3.7511045938600542,T0n,T4-full-vector,configuration,drift,configuration,configuration,,True,True,True,0.0,1,2026-08-07T23:53:17.383629+00:00,2026-08-07T23:53:17.439898+00:00,0.05626704217866063,4.039023915771395,4.095290957950056,4.039069375023246,minimal synchronous verdict bundle
1,S2,0.5,0.1061206347024175,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:16.707894+00:00,2026-08-07T23:52:19.005237+00:00,2.297279791906476,0.3768462501466274,2.6741260420531034,0.3770070830360055,minimal synchronous verdict bundle
1,S2,2.0,0.9671581746780862,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:16.707894+00:00,2026-08-07T23:52:19.005237+00:00,2.297279791906476,1.1728640422224998,3.470143834128976,1.1729104169644415,minimal synchronous verdict bundle
1,S2,10.0,5.813241684719412,T2,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:16.707894+00:00,2026-08-07T23:52:19.005237+00:00,2.297279791906476,6.044685666915029,8.341965458821505,6.044745875056833,minimal synchronous verdict bundle
1,S3,0.5,0.457981558710831,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,15,2026-08-07T23:52:39.538045+00:00,2026-08-07T23:52:39.661542+00:00,0.12350670900195837,7.643126791343093,7.766633500345051,7.643204708117992,minimal synchronous verdict bundle
1,S3,2.0,1.0744843296211117,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,5,2026-08-07T23:52:39.538045+00:00,2026-08-07T23:52:39.661542+00:00,0.12350670900195837,9.262361790984869,9.385868499986827,9.262407291214913,minimal synchronous verdict bundle
1,S3,10.0,6.140795922396837,T1,T4-full-vector,policy,drift,policy,policy,,True,True,True,0.0,2,2026-08-07T23:52:39.538045+00:00,2026-08-07T23:52:39.661542+00:00,0.12350670900195837,16.40481874998659,16.528325458988547,16.404881374910474,minimal synchronous verdict bundle
1,S4,0.5,0.3974084782016235,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:51:23.863696+00:00,2026-08-07T23:51:25.437597+00:00,1.5738890832290053,0.59068224998191,2.1645713332109153,0.590752833057195,minimal synchronous verdict bundle
1,S4,2.0,1.1438155348366164,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:51:23.863696+00:00,2026-08-07T23:51:25.437597+00:00,1.5738890832290053,1.359537874814123,2.9334269580431283,1.3595891250297427,minimal synchronous verdict bundle
1,S4,10.0,8.616378788005512,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:51:23.863696+00:00,2026-08-07T23:51:25.437597+00:00,1.5738890832290053,8.869560124818236,10.443449208047241,8.869649666827172,minimal synchronous verdict bundle
1,S5,0.5,0.3364316230069024,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:52:28.296219+00:00,2026-08-07T23:52:28.358405+00:00,0.062180541921406984,0.5195199162699282,0.5817004581913352,0.5195634579285979,minimal synchronous verdict bundle
1,S5,2.0,1.239877428610118,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:52:28.296219+00:00,2026-08-07T23:52:28.358405+00:00,0.062180541921406984,1.4877544161863625,1.5499349581077695,1.4878059579059482,minimal synchronous verdict bundle
1,S5,10.0,8.260941032084864,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:52:28.296219+00:00,2026-08-07T23:52:28.358405+00:00,0.062180541921406984,8.49852683302015,8.560707374941558,8.498581165913492,minimal synchronous verdict bundle
1,S6,0.5,0.39781947476940555,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:51:37.522677+00:00,2026-08-07T23:51:46.546909+00:00,9.02413566596806,0.6343467920087278,9.658482457976788,0.6344112921506166,minimal synchronous verdict bundle
1,S6,2.0,0.24971785875361285,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:51:37.522677+00:00,2026-08-07T23:51:46.546909+00:00,9.02413566596806,0.4549870421178639,9.479122708085924,0.455076249781996,minimal synchronous verdict bundle
1,S6,10.0,7.748931096284023,T3,T4-full-vector,intent|authorization,drift,intent,authorization|intent,,True,True,True,0.0,1,2026-08-07T23:51:37.522677+00:00,2026-08-07T23:51:46.546909+00:00,9.02413566596806,8.07774354191497,17.10187920788303,8.077818708959967,minimal synchronous verdict bundle
1,S7,0.5,0.15954875902515114,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:53:08.206683+00:00,2026-08-07T23:53:08.267130+00:00,0.0604547499679029,0.3478207499720156,0.4082754999399185,0.34787304187193513,minimal synchronous verdict bundle
1,S7,2.0,1.8354783758160809,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:53:08.206683+00:00,2026-08-07T23:53:08.267130+00:00,0.0604547499679029,2.0295644579455256,2.0900192079134285,2.029617332853377,minimal synchronous verdict bundle
1,S7,10.0,6.295323552331419,T4,T4-full-vector,environment,drift,environment,environment,,True,True,True,0.0,1,2026-08-07T23:53:08.206683+00:00,2026-08-07T23:53:08.267130+00:00,0.0604547499679029,6.532119791954756,6.592574541922659,6.532185582909733,minimal synchronous verdict bundle
1,S8,0.5,0.21302949611416988,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:03.237582+00:00,2026-08-07T23:52:03.308527+00:00,0.07099154079332948,0.3946411251090467,0.4656326659023762,0.3948718341998756,minimal synchronous verdict bundle
1,S8,2.0,0.9820283163884014,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:03.237582+00:00,2026-08-07T23:52:03.308527+00:00,0.07099154079332948,1.2059487500227988,1.2769402908161283,1.206000791862607,minimal synchronous verdict bundle
1,S8,10.0,9.933044669409805,T3,T4-full-vector,authorization,drift,authorization,authorization,,True,True,True,0.0,1,2026-08-07T23:52:03.237582+00:00,2026-08-07T23:52:03.308527+00:00,0.07099154079332948,10.255282958969474,10.326274499762803,10.255395583808422,minimal synchronous verdict bundle
