scenario,repetition,schedule_index,injection_id,timing_reference_id,injection_utc,onset_utc,surface,expected_set,first_observed_set,final_observed_set,baseline_exact_empty,exact_set,polls_to_exact,actuation_seconds,operational_onset_to_first_honest_seconds,first_honest_verdict_kind,first_epistemic_alert_seconds,first_substantive_alert_seconds,exact_set_latency_seconds,evidence_latency_seconds,deployment_uid,argocd_gatekeeper_native_validation,shared_adapter_only,intent_evaluated,environment_evaluated,baseline_deployment_uid,final_gatekeeper_joined_uid,gatekeeper_emitted_resource_uid,gatekeeper_structural_uid_field
S1,1,1,S1:r1:schedule1,operational-onset:S1:r1:schedule1,2026-08-08T08:51:02.175232+00:00,2026-08-08T08:51:02.215611+00:00,argocd-native,configuration,configuration,configuration,True,True,4,0.040368,0.183438,epistemic-only,0.183438,0.645707,1.676624,1.676624,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S3,1,2,S3:r1:schedule2,operational-onset:S3:r1:schedule2,2026-08-08T08:51:36.353528+00:00,2026-08-08T08:51:36.431744+00:00,gatekeeper-native,policy,policy,policy,True,True,4,0.078206,0.141988,epistemic-only,0.141988,1.6594,1.6594,1.6594,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False
S4,1,3,S4:r1:schedule3,operational-onset:S4:r1:schedule3,2026-08-08T08:51:40.312176+00:00,2026-08-08T08:51:41.237426+00:00,shared-artifact-adapter,authorization,authorization,authorization,True,True,2,0.925219,0.21545,substantive-and-epistemic,0.21545,0.21545,0.650497,0.650497,dcde2d52-1490-4878-9bd8-a71e8feb0a18,False,True,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S3,2,4,S3:r2:schedule4,operational-onset:S3:r2:schedule4,2026-08-08T08:51:44.359705+00:00,2026-08-08T08:51:44.434101+00:00,gatekeeper-native,policy,policy,policy,True,True,4,0.074385,0.156506,epistemic-only,0.156506,1.706042,1.706042,1.706042,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False
S4,2,5,S4:r2:schedule5,operational-onset:S4:r2:schedule5,2026-08-08T08:51:50.324742+00:00,2026-08-08T08:51:52.217184+00:00,shared-artifact-adapter,authorization,authorization,authorization,True,True,1,1.892421,0.186795,substantive-only,,0.186795,0.186795,0.186795,dcde2d52-1490-4878-9bd8-a71e8feb0a18,False,True,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S1,2,6,S1:r2:schedule6,operational-onset:S1:r2:schedule6,2026-08-08T08:51:56.352565+00:00,2026-08-08T08:51:56.396031+00:00,argocd-native,configuration,configuration,configuration,True,True,4,0.043458,0.195667,epistemic-only,0.195667,0.760368,1.675614,1.675614,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S4,3,7,S4:r3:schedule7,operational-onset:S4:r3:schedule7,2026-08-08T08:52:30.673825+00:00,2026-08-08T08:52:32.350733+00:00,shared-artifact-adapter,authorization,authorization,authorization,True,True,1,1.676882,0.215027,substantive-only,,0.215027,0.215027,0.215027,dcde2d52-1490-4878-9bd8-a71e8feb0a18,False,True,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S1,3,8,S1:r3:schedule8,operational-onset:S1:r3:schedule8,2026-08-08T08:52:36.334724+00:00,2026-08-08T08:52:36.379985+00:00,argocd-native,configuration,configuration,configuration,True,True,4,0.045253,0.223114,substantive-and-epistemic,0.223114,0.223114,1.65515,1.65515,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S3,3,9,S3:r3:schedule9,operational-onset:S3:r3:schedule9,2026-08-08T08:53:10.784373+00:00,2026-08-08T08:53:10.862030+00:00,gatekeeper-native,policy,policy,policy,True,True,3,0.077644,0.153454,epistemic-only,0.153454,1.143936,1.143936,1.143936,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False
S1,4,10,S1:r4:schedule10,operational-onset:S1:r4:schedule10,2026-08-08T08:53:14.880492+00:00,2026-08-08T08:53:15.002105+00:00,argocd-native,configuration,configuration,configuration,True,True,4,0.121601,0.880384,substantive-and-epistemic,0.880384,0.880384,1.680324,1.680324,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S4,4,11,S4:r4:schedule11,operational-onset:S4:r4:schedule11,2026-08-08T08:53:49.014613+00:00,2026-08-08T08:53:50.779035+00:00,shared-artifact-adapter,authorization,authorization,authorization,True,True,3,1.764366,0.216292,substantive-and-epistemic,0.216292,0.216292,1.148694,1.148694,dcde2d52-1490-4878-9bd8-a71e8feb0a18,False,True,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
S3,4,12,S3:r4:schedule12,operational-onset:S3:r4:schedule12,2026-08-08T08:53:54.168798+00:00,2026-08-08T08:53:54.249413+00:00,gatekeeper-native,policy,policy,policy,True,True,4,0.080604,0.167014,epistemic-only,0.167014,1.665182,1.665182,1.665182,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False
S3,5,13,S3:r5:schedule13,operational-onset:S3:r5:schedule13,2026-08-08T08:53:58.264727+00:00,2026-08-08T08:53:58.346844+00:00,gatekeeper-native,policy,policy,policy,True,True,4,0.082101,0.332091,epistemic-only,0.332091,1.652815,1.652815,1.652815,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False
S1,5,14,S1:r5:schedule14,operational-onset:S1:r5:schedule14,2026-08-08T08:54:04.420396+00:00,2026-08-08T08:54:04.465526+00:00,argocd-native,configuration,configuration,configuration,True,True,4,0.045118,0.206765,substantive-and-epistemic,0.206765,0.206765,1.797857,1.797857,dcde2d52-1490-4878-9bd8-a71e8feb0a18,True,False,False,False,dcde2d52-1490-4878-9bd8-a71e8feb0a18,,False,False
