window,control,control_name,cadence_seconds,duration_seconds,polls,alarms,epistemic_warnings,false_alarm_window,observed_classes
1,C1,satisfied policy revision,0.5,300.0,600,0,0,False,
1,C1,satisfied policy revision,2.0,300.0,150,0,0,False,
1,C1,satisfied policy revision,10.0,300.0,30,0,0,False,
2,C2,approved rollback,0.5,300.0,600,0,0,False,
2,C2,approved rollback,2.0,300.0,150,0,0,False,
2,C2,approved rollback,10.0,300.0,30,0,0,False,
3,C3,exception removed at expiry,0.5,300.0,600,0,0,False,
3,C3,exception removed at expiry,2.0,300.0,150,0,0,False,
3,C3,exception removed at expiry,10.0,300.0,30,0,0,False,
4,C4,approved artifact re-tag,0.5,300.0,600,0,0,False,
4,C4,approved artifact re-tag,2.0,300.0,150,0,0,False,
4,C4,approved artifact re-tag,10.0,300.0,30,0,0,False,
5,C5,autoscaling replica change,0.5,300.0,600,0,0,False,
5,C5,autoscaling replica change,2.0,300.0,150,0,0,False,
5,C5,autoscaling replica change,10.0,300.0,30,0,0,False,
6,C6,legitimate rollout restart,0.5,300.0,600,0,0,False,
6,C6,legitimate rollout restart,2.0,300.0,150,0,0,False,
6,C6,legitimate rollout restart,10.0,300.0,30,0,0,False,
