repeat,scenario,cadence_seconds,phase_seconds,evaluator_tier,evaluation_scope,expected_class_set,observed_verdict,observed_class,observed_class_set,first_observed_class_set,undecidable_components,detection_rate_hit,first_priority_correct,classification_correct,hamming_loss,polls,injection_started_utc,onset_observed_utc,actuation_seconds,ddl_seconds,end_to_end_seconds,tte_seconds,exact_set_complete_seconds,ddl_right_censored,exact_set_completion_right_censored,censoring_seconds,evidence_semantics
1,S10,0.5,0.14127508709931658,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,15,2026-08-08T07:52:50.133175+00:00,2026-08-08T07:52:53.003454+00:00,2.8702790839597583,0.3827849579975009,3.253064041957259,0.38282612478360534,7.401462290901691,False,False,180.0,provisional sequential-snapshot class-set record
1,S10,2.0,1.1792355770175589,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,4,2026-08-08T07:52:50.133175+00:00,2026-08-08T07:52:53.003454+00:00,2.8702790839597583,1.6297968327999115,4.50007591675967,1.6298404159024358,7.61370945814997,False,False,180.0,provisional sequential-snapshot class-set record
1,S10,10.0,8.25098526795638,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,policy|authorization,,True,True,True,0.0,1,2026-08-08T07:52:50.133175+00:00,2026-08-08T07:52:53.003454+00:00,2.8702790839597583,8.480617249850184,11.350896333809942,8.4806666248478,8.480617249850184,False,False,180.0,provisional sequential-snapshot class-set record
1,S11,0.5,0.2904848343205406,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:52:42.139639+00:00,2026-08-08T07:52:43.762174+00:00,1.622543167322874,0.5619263746775687,2.1844695420004427,0.5619831667281687,0.5619263746775687,False,False,180.0,provisional sequential-snapshot class-set record
1,S11,2.0,1.7389180844802712,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:52:42.139639+00:00,2026-08-08T07:52:43.762174+00:00,1.622543167322874,2.018585625104606,3.64112879242748,2.0186457079835236,2.018585625104606,False,False,180.0,provisional sequential-snapshot class-set record
1,S11,10.0,2.5761336703899285,T4,T4-sequential-snapshot-class-set,authorization|environment,drift,authorization,authorization|environment,authorization|environment,,True,True,True,0.0,1,2026-08-08T07:52:42.139639+00:00,2026-08-08T07:52:43.762174+00:00,1.622543167322874,2.829547875095159,4.452091042418033,2.829598041716963,2.829547875095159,False,False,180.0,provisional sequential-snapshot class-set record
1,S12,0.5,0.169805872993065,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:53:11.530595+00:00,2026-08-08T07:53:20.454701+00:00,8.923900791909546,0.4500288753770292,9.373929667286575,0.45007120817899704,0.4500288753770292,False,False,180.0,provisional sequential-snapshot class-set record
1,S12,2.0,0.08735052279178035,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:53:11.530595+00:00,2026-08-08T07:53:20.454701+00:00,8.923900791909546,0.2729684170335531,9.196869208943099,0.2730186670087278,0.2729684170335531,False,False,180.0,provisional sequential-snapshot class-set record
1,S12,10.0,4.2843270817369925,T2,T4-sequential-snapshot-class-set,intent|evidence,drift,intent,intent|evidence,intent|evidence,authorization,True,True,True,0.0,1,2026-08-08T07:53:11.530595+00:00,2026-08-08T07:53:20.454701+00:00,8.923900791909546,4.519121167249978,13.443021959159523,4.519165042322129,4.519121167249978,False,False,180.0,provisional sequential-snapshot class-set record
2,S10,0.5,0.1027302256781924,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,9,2026-08-08T07:54:05.638621+00:00,2026-08-08T07:54:08.001228+00:00,2.3625461659394205,0.3415738749317825,2.704120040871203,0.3416205421090126,4.31537662493065,False,False,180.0,provisional sequential-snapshot class-set record
2,S10,2.0,1.1495331711582342,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,authorization,,True,True,True,0.0,3,2026-08-08T07:54:05.638621+00:00,2026-08-08T07:54:08.001228+00:00,2.3625461659394205,1.5438798340037465,3.906425999943167,1.5439181248657405,5.376660333946347,False,False,180.0,provisional sequential-snapshot class-set record
2,S10,10.0,7.434594157504131,T2,T4-sequential-snapshot-class-set,policy|authorization,drift,policy,policy|authorization,policy|authorization,,True,True,True,0.0,1,2026-08-08T07:54:05.638621+00:00,2026-08-08T07:54:08.001228+00:00,2.3625461659394205,7.7089717499911785,10.071517915930599,7.709021749906242,7.7089717499911785,False,False,180.0,provisional sequential-snapshot class-set record
