profile,ordinal,wall_elapsed_ms,step,logical_time,target_stream,expected_undecidable,actual_undecidable,gateway_verdict,components_json,mask_json,streams_json,safety_ok,local_masking_ok,recovery_of
baseline,29,6.811,all_streams_fresh,0.1,none,,,consistent,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""consistent""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":true}","{""authorization"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""1f8741effc50bf1955d89b8e4c5a2dd3643f302ac2917622bbfdab14c0a09fce"",""reason"":""valid"",""sequence"":1,""valid"":true},""basis"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""6de2dcb5e2d77a7c38ab2c02f89a5cfa99530660133c049f2b6039ad63b7dc61"",""reason"":""valid"",""sequence"":1,""valid"":true},""configuration"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""ca7e11351d789e82fc7d3b0b76ec61e9511906f1a87fe447296bda5c445aa19e"",""reason"":""valid"",""sequence"":1,""valid"":true},""intent"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""af2da5b0ab9ed2c0995aece91ffbbdcf5598a07e4cd3236cb5901e00277ef67c"",""reason"":""valid"",""sequence"":1,""valid"":true},""inventory"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""cfb9914cbb47948eb9873ac4ba72e9cad289a389d873959dbbec864ee8d8dda8"",""reason"":""valid"",""sequence"":1,""valid"":true},""lineage"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""8a54959256fc79ae27203ed535745ea25aa0c208bf148ed53f80192d686fbc7b"",""reason"":""valid"",""sequence"":1,""valid"":true},""policy"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""a9515c5f3635acf8d833d4d5e2f214dbed1575ccc9424edecd6d6c83d49b6e71"",""reason"":""valid"",""sequence"":1,""valid"":true}}",True,True,
delay_jitter,55,9.594,jitter_trial_1_pending_50ms,3.2,policy,policy,policy,undecidable,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""undecidable""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":false}","{""authorization"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""d278ad03cc03d08307712fc636ac7c2fa26d67714e2e0cf9e8f7a65944111895"",""reason"":""valid"",""sequence"":2,""valid"":true},""basis"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""e3f1fc72cf78482ad1bed6e95697067e805e05be162cec1d66d6ff9126d41fed"",""reason"":""valid"",""sequence"":2,""valid"":true},""configuration"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""582601a3c6bc4a566e1a04a2a0987b5f7a4e33c3c66c5d19052df2e3a4531e3e"",""reason"":""valid"",""sequence"":2,""valid"":true},""intent"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""972407c03c7ba1f907a404ccabc07f70934cc63050d68c19c86e621d798332c4"",""reason"":""valid"",""sequence"":2,""valid"":true},""inventory"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""965a7efc3922891d49ba6a91ba57b1c0cb7b910dc71db2d556e35f35df326919"",""reason"":""valid"",""sequence"":2,""valid"":true},""lineage"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""c63b0ac91c5e29f45f4e99ed0133cc59b60b4909380c7d874869d89cc1ed2417"",""reason"":""valid"",""sequence"":2,""valid"":true},""policy"":{""captured_at"":0.0,""delivered_at"":0.05,""payload_hash"":""a9515c5f3635acf8d833d4d5e2f214dbed1575ccc9424edecd6d6c83d49b6e71"",""reason"":""stale evidence"",""sequence"":1,""valid"":false}}",True,True,
delay_jitter,59,69.491,jitter_trial_1_recovered,3.4,policy,,,consistent,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""consistent""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":true}","{""authorization"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""d278ad03cc03d08307712fc636ac7c2fa26d67714e2e0cf9e8f7a65944111895"",""reason"":""valid"",""sequence"":2,""valid"":true},""basis"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""e3f1fc72cf78482ad1bed6e95697067e805e05be162cec1d66d6ff9126d41fed"",""reason"":""valid"",""sequence"":2,""valid"":true},""configuration"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""582601a3c6bc4a566e1a04a2a0987b5f7a4e33c3c66c5d19052df2e3a4531e3e"",""reason"":""valid"",""sequence"":2,""valid"":true},""intent"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""972407c03c7ba1f907a404ccabc07f70934cc63050d68c19c86e621d798332c4"",""reason"":""valid"",""sequence"":2,""valid"":true},""inventory"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""965a7efc3922891d49ba6a91ba57b1c0cb7b910dc71db2d556e35f35df326919"",""reason"":""valid"",""sequence"":2,""valid"":true},""lineage"":{""captured_at"":3.0,""delivered_at"":3.05,""payload_hash"":""c63b0ac91c5e29f45f4e99ed0133cc59b60b4909380c7d874869d89cc1ed2417"",""reason"":""valid"",""sequence"":2,""valid"":true},""policy"":{""captured_at"":3.0,""delivered_at"":3.4,""payload_hash"":""4498dfc768eeb31761590aa4dd1795bbf9c5d31c8c742f55c627f0b613ce99a5"",""reason"":""valid"",""sequence"":2,""valid"":true}}",True,True,jitter_trial_1_pending_50ms
delay_jitter,86,75.475,jitter_trial_2_pending_55ms,6.2,policy,policy,policy,undecidable,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""undecidable""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":false}","{""authorization"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""bd17a884d669c0cea05ff8ac90de54db06d84324dc8e91849fb46aaa64ab8458"",""reason"":""valid"",""sequence"":3,""valid"":true},""basis"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""7570142ca2560e3d543486f44be8130f80bbd7ddc0f20d444e13bd8ae1e7f41d"",""reason"":""valid"",""sequence"":3,""valid"":true},""configuration"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""0011ce179b8598ce7a7d3e10ff9df7dd74dc0b5b054139beb3a6479ca6cfb006"",""reason"":""valid"",""sequence"":3,""valid"":true},""intent"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""a4454f2500ca5e8cfbc846b4b916a58258210547694c24c6d4b025255c93c1be"",""reason"":""valid"",""sequence"":3,""valid"":true},""inventory"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""b59ab8ba690ab4de0abaa4d3ee492e58e9376843fac1449d752c632f3aa082b3"",""reason"":""valid"",""sequence"":3,""valid"":true},""lineage"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""1a03f8f0deb8170dd19617eeb1e08ea194527222abb15527c0da394eb6332499"",""reason"":""valid"",""sequence"":3,""valid"":true},""policy"":{""captured_at"":3.0,""delivered_at"":3.4,""payload_hash"":""4498dfc768eeb31761590aa4dd1795bbf9c5d31c8c742f55c627f0b613ce99a5"",""reason"":""stale evidence"",""sequence"":2,""valid"":false}}",True,True,
delay_jitter,90,141.146,jitter_trial_2_recovered,6.4,policy,,,consistent,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""consistent""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":true}","{""authorization"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""bd17a884d669c0cea05ff8ac90de54db06d84324dc8e91849fb46aaa64ab8458"",""reason"":""valid"",""sequence"":3,""valid"":true},""basis"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""7570142ca2560e3d543486f44be8130f80bbd7ddc0f20d444e13bd8ae1e7f41d"",""reason"":""valid"",""sequence"":3,""valid"":true},""configuration"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""0011ce179b8598ce7a7d3e10ff9df7dd74dc0b5b054139beb3a6479ca6cfb006"",""reason"":""valid"",""sequence"":3,""valid"":true},""intent"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""a4454f2500ca5e8cfbc846b4b916a58258210547694c24c6d4b025255c93c1be"",""reason"":""valid"",""sequence"":3,""valid"":true},""inventory"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""b59ab8ba690ab4de0abaa4d3ee492e58e9376843fac1449d752c632f3aa082b3"",""reason"":""valid"",""sequence"":3,""valid"":true},""lineage"":{""captured_at"":6.0,""delivered_at"":6.05,""payload_hash"":""1a03f8f0deb8170dd19617eeb1e08ea194527222abb15527c0da394eb6332499"",""reason"":""valid"",""sequence"":3,""valid"":true},""policy"":{""captured_at"":6.0,""delivered_at"":6.4,""payload_hash"":""2fa9ffc632394b4bf38f6e0aefef95df00eaed72fa4fdf868442b02f06e61dc2"",""reason"":""valid"",""sequence"":3,""valid"":true}}",True,True,jitter_trial_2_pending_55ms
delay_jitter,117,144.335,jitter_trial_3_pending_45ms,9.2,policy,policy,policy,undecidable,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""undecidable""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":false}","{""authorization"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""55704cf9eb48abbcf20f5a3d9a2e75c5e228a0da3aee42060ba2657912c7152f"",""reason"":""valid"",""sequence"":4,""valid"":true},""basis"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""2668277c7a0e43f3310f46e400281c20db24cf397f3c94c7676d7b3bdf207b7b"",""reason"":""valid"",""sequence"":4,""valid"":true},""configuration"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""0d01010dc02b71a6357950fe24f82960827e98820c5b880b8bdab255298a4bd6"",""reason"":""valid"",""sequence"":4,""valid"":true},""intent"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""8bbae8789e399b2d7ee20513f93e8948c47443f81e2d907ba712adfde2be1a57"",""reason"":""valid"",""sequence"":4,""valid"":true},""inventory"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""439c3e063b05bc5ee51f12c8d201ef53ea5657d92f64c379e1b7f84a5deb8fcf"",""reason"":""valid"",""sequence"":4,""valid"":true},""lineage"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""5b4f190766ef8ee15634a9d7c55eb3139c573e997ab5ad1ac2d22844f54e6852"",""reason"":""valid"",""sequence"":4,""valid"":true},""policy"":{""captured_at"":6.0,""delivered_at"":6.4,""payload_hash"":""2fa9ffc632394b4bf38f6e0aefef95df00eaed72fa4fdf868442b02f06e61dc2"",""reason"":""stale evidence"",""sequence"":3,""valid"":false}}",True,True,
delay_jitter,121,196.389,jitter_trial_3_recovered,9.4,policy,,,consistent,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""consistent""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":true}","{""authorization"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""55704cf9eb48abbcf20f5a3d9a2e75c5e228a0da3aee42060ba2657912c7152f"",""reason"":""valid"",""sequence"":4,""valid"":true},""basis"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""2668277c7a0e43f3310f46e400281c20db24cf397f3c94c7676d7b3bdf207b7b"",""reason"":""valid"",""sequence"":4,""valid"":true},""configuration"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""0d01010dc02b71a6357950fe24f82960827e98820c5b880b8bdab255298a4bd6"",""reason"":""valid"",""sequence"":4,""valid"":true},""intent"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""8bbae8789e399b2d7ee20513f93e8948c47443f81e2d907ba712adfde2be1a57"",""reason"":""valid"",""sequence"":4,""valid"":true},""inventory"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""439c3e063b05bc5ee51f12c8d201ef53ea5657d92f64c379e1b7f84a5deb8fcf"",""reason"":""valid"",""sequence"":4,""valid"":true},""lineage"":{""captured_at"":9.0,""delivered_at"":9.05,""payload_hash"":""5b4f190766ef8ee15634a9d7c55eb3139c573e997ab5ad1ac2d22844f54e6852"",""reason"":""valid"",""sequence"":4,""valid"":true},""policy"":{""captured_at"":9.0,""delivered_at"":9.4,""payload_hash"":""d4d6b86dabe53d9dedf78a28744987821bca8844bdb7a74ae4cd727651e42b64"",""reason"":""valid"",""sequence"":4,""valid"":true}}",True,True,jitter_trial_3_pending_45ms
delay_jitter,148,200.823,jitter_trial_4_pending_40ms,12.2,policy,policy,policy,undecidable,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""undecidable""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":false}","{""authorization"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""2c3f460afa004a50f2c90121d7090e85154dcecafa454eb6be403c75cb6a8752"",""reason"":""valid"",""sequence"":5,""valid"":true},""basis"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""222ab611a3ec77609bcd0d19482d9ec4c704b43560010a68c5d4e1bb88c74cfe"",""reason"":""valid"",""sequence"":5,""valid"":true},""configuration"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""111d3dec17f467e351772ba723d4d7bd8c8f61b123b71c583b38815d4a91962f"",""reason"":""valid"",""sequence"":5,""valid"":true},""intent"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""6f25f0006bb29519e9ae72536a3f1a8d87beb8f699ba883b7f6eb593567690d0"",""reason"":""valid"",""sequence"":5,""valid"":true},""inventory"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""0678476c1a6546634935e3bfc5493f96fc3088c8cf208be3c24423f819f193db"",""reason"":""valid"",""sequence"":5,""valid"":true},""lineage"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""d242e9aeeee648a22d77039ad503c5b4fee1651b1fb4386a3945ab523153ec1f"",""reason"":""valid"",""sequence"":5,""valid"":true},""policy"":{""captured_at"":9.0,""delivered_at"":9.4,""payload_hash"":""d4d6b86dabe53d9dedf78a28744987821bca8844bdb7a74ae4cd727651e42b64"",""reason"":""stale evidence"",""sequence"":4,""valid"":false}}",True,True,
delay_jitter,152,252.671,jitter_trial_4_recovered,12.4,policy,,,consistent,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""consistent""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":true}","{""authorization"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""2c3f460afa004a50f2c90121d7090e85154dcecafa454eb6be403c75cb6a8752"",""reason"":""valid"",""sequence"":5,""valid"":true},""basis"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""222ab611a3ec77609bcd0d19482d9ec4c704b43560010a68c5d4e1bb88c74cfe"",""reason"":""valid"",""sequence"":5,""valid"":true},""configuration"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""111d3dec17f467e351772ba723d4d7bd8c8f61b123b71c583b38815d4a91962f"",""reason"":""valid"",""sequence"":5,""valid"":true},""intent"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""6f25f0006bb29519e9ae72536a3f1a8d87beb8f699ba883b7f6eb593567690d0"",""reason"":""valid"",""sequence"":5,""valid"":true},""inventory"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""0678476c1a6546634935e3bfc5493f96fc3088c8cf208be3c24423f819f193db"",""reason"":""valid"",""sequence"":5,""valid"":true},""lineage"":{""captured_at"":12.0,""delivered_at"":12.05,""payload_hash"":""d242e9aeeee648a22d77039ad503c5b4fee1651b1fb4386a3945ab523153ec1f"",""reason"":""valid"",""sequence"":5,""valid"":true},""policy"":{""captured_at"":12.0,""delivered_at"":12.4,""payload_hash"":""2d7fe7b5369e99dbd28272b75e8386cebfc5c11e875f2ab6caecc2d723674986"",""reason"":""valid"",""sequence"":5,""valid"":true}}",True,True,jitter_trial_4_pending_40ms
delay_jitter,179,258.137,jitter_trial_5_pending_60ms,15.2,policy,policy,policy,undecidable,"{""authorization"":""consistent"",""configuration"":""consistent"",""environment"":""consistent"",""intent"":""consistent"",""policy"":""undecidable""}","{""authorization"":true,""configuration"":true,""environment"":true,""intent"":true,""policy"":false}","{""authorization"":{""captured_at"":15.0,""delivered_at"":15.05,""payload_hash"":""40f9e662d23b14029b42e164b29c324bde5ee156e7f5a7954f13aa991f4e2fa2"",""reason"":""valid"",""sequence"":6,""valid"":true},""basis"":{""captured_at"":15.0,""delivered_at"":15.05,""payload_hash"":""6a9ba1182fbb47c451c717348831d2c68bd34bfee39a05624176a5795a1da0b5"",""reason"":""valid"",""sequence"":6,""valid"":true},""configuration"":{""captured_at"":15.0,""delivered_at"":15.05,""payload_hash"":""d28d5102628c40f5fd7ab4850712265c77485aba79466c27af3b630321a46c0e"",""reason"":""valid"",""sequence"":6,""valid"":true},""intent"":{""captured_at"":15.0,""delivered_at"":15.05,""payload_hash"":""ee954d69daa8503fc7a11c8c248c02b94d01656d6b1a6e06eb83e317b04f5bb5"",""reason"":""valid"",""sequence"":6,""valid"":true},""inventory"":{""captured_at"":15.0,""delivered_at"":15.05,""payload_hash"":""d8022a13d9526e1a657fb4bce3798966e17cb46ab128db89652d5e7f413a0f5e"",""reason"":""valid"",""sequence"":6,""valid"":true},""lineage"":{""captured_at"":15.0,""delivered_at"":15.05,""payload_hash"":""88b64e46c13c534acfa4a16102c66c832617c680e5d9e415ec74f1a62c17ded4"",""reason"":""valid"",""sequence"":6,""valid"":true},""policy"":{""captured_at"":12.0,""delivered_at"":12.4,""payload_hash"":""2d7fe7b5369e99dbd28272b75e8386cebfc5c11e875f2ab6caecc2d723674986"",""reason"":""stale evidence"",""sequence"":5,""valid"":false}}",True,True,
