n,sweep,phase,fetch_ms,parse_ms,core_ms,total_ms,units_per_second,deployments,active_pods,active_containers,response_bytes,exact_vectors,expected_vectors,epistemic_vectors,api_command_count,modeled_api_list_operations,api_error,error_detail,policy_fanout_units,policy_fanout_core_ms,policy_fanout_exact_vectors
10,1,baseline,51.555542,0.715625,0.171333,52.44875,190.66231321051504,10,10,20,206869,10,10,0,1,2,False,,2,0.035917,2
10,2,baseline,51.225291,0.640625,0.104208,51.975833,192.39710886403688,10,10,20,206869,10,10,0,1,2,False,,2,0.03225,2
10,3,baseline,49.798125,0.604458,0.106042,50.5165,197.9551235734859,10,10,20,206869,10,10,0,1,2,False,,2,0.036334,2
10,4,baseline,50.197125,0.649625,0.096,50.94925,196.27374298934723,10,10,20,206869,10,10,0,1,2,False,,2,0.032542,2
10,5,baseline,58.016584,0.655042,0.100625,58.780167,170.12540981722628,10,10,20,206869,10,10,0,1,2,False,,2,0.030708,2
10,6,baseline,48.84225,0.643875,0.086542,49.57975,201.69524856418195,10,10,20,206869,10,10,0,1,2,False,,2,0.032792,2
10,7,baseline,48.730959,0.642834,0.096667,49.486083,202.0770162795063,10,10,20,206869,10,10,0,1,2,False,,2,0.030083,2
10,8,baseline,48.015542,0.773041,0.088583,48.882541,204.57201682703032,10,10,20,206869,10,10,0,1,2,False,,2,0.0265,2
10,9,post-scale,58.239959,0.643083,0.104959,58.994042,169.50864292363624,10,12,24,235083,10,10,0,1,2,False,,2,0.030375,2
10,10,post-scale,56.991958,0.633333,0.099708,57.730625,173.218287520705,10,12,24,235083,10,10,0,1,2,False,,2,0.031667,2
10,11,post-scale,63.660542,1.105125,0.183584,65.038167,153.75587076431594,10,12,24,235083,10,10,0,1,2,False,,2,0.042917,2
10,12,post-scale,58.938709,0.640708,0.096667,59.683,167.55189920077743,10,12,24,235083,10,10,0,1,2,False,,2,0.029834,2
10,13,post-scale,52.835334,0.711083,0.101584,53.67975,186.28998831030324,10,12,24,235083,10,10,0,1,2,False,,2,0.030667,2
10,14,post-scale,54.856125,0.637125,0.112791,55.6245,179.7768968709831,10,12,24,235083,10,10,0,1,2,False,,2,0.0305,2
10,15,post-restart,54.378125,0.718958,0.131167,55.233459,181.04967860151578,10,12,24,250828,10,10,0,1,2,False,,2,0.037167,2
10,16,post-restart,58.701542,0.718292,0.109042,59.536333,167.9646611758907,10,12,24,250828,10,10,0,1,2,False,,2,0.032958,2
10,17,post-restart,51.619916,0.6395,0.091792,52.359,190.98913271834832,10,12,24,250828,10,10,0,1,2,False,,2,0.027833,2
10,18,post-restart,52.777375,0.685042,0.107166,53.574333,186.6565468953202,10,12,24,250828,10,10,0,1,2,False,,2,0.032,2
10,19,post-restart,49.570791,0.6875,0.099041,50.363083,198.5581383093644,10,12,24,250828,10,10,0,1,2,False,,2,0.026542,2
10,20,post-restart,50.481958,0.748125,0.100583,51.335875,194.79554989566262,10,12,24,250828,10,10,0,1,2,False,,2,0.028042,2
50,1,baseline,103.006875,2.573875,0.32825,105.915208,472.0757381697253,50,50,100,1034439,50,50,0,1,2,False,,10,0.1065,10
50,2,baseline,114.684458,2.679875,0.326916,117.697708,424.81710858804485,50,50,100,1034439,50,50,0,1,2,False,,10,0.101292,10
50,3,baseline,182.978,3.815375,0.347083,187.148708,267.16721977049394,50,50,100,1034439,50,50,0,1,2,False,,10,0.098667,10
50,4,baseline,196.442834,2.427917,0.3185,199.19525,251.01000149350952,50,50,100,1034439,50,50,0,1,2,False,,10,0.102167,10
50,5,baseline,93.333042,2.501291,0.3075,96.147416,520.0347765976362,50,50,100,1034439,50,50,0,1,2,False,,10,0.097208,10
50,6,baseline,101.255875,2.563708,0.332292,104.157917,480.0403218509064,50,50,100,1034439,50,50,0,1,2,False,,10,0.103792,10
50,7,baseline,93.113125,2.32975,0.300375,95.748542,522.201163125805,50,50,100,1034439,50,50,0,1,2,False,,10,0.097791,10
50,8,baseline,97.365791,2.429042,0.305,100.104875,499.47617436213767,50,50,100,1034439,50,50,0,1,2,False,,10,0.097291,10
50,9,post-scale,107.895,3.167667,0.381,111.451959,448.6237877613259,50,60,120,1175767,50,50,0,1,2,False,,10,0.108417,10
50,10,post-scale,100.743084,3.005625,0.332458,104.089042,480.35796121555234,50,60,120,1175767,50,50,0,1,2,False,,10,0.099792,10
50,11,post-scale,102.3135,3.002791,0.370542,105.692208,473.071770815877,50,60,120,1175767,50,50,0,1,2,False,,10,0.105167,10
50,12,post-scale,136.867625,5.001125,0.377416,142.253459,351.48530201996704,50,60,120,1175767,50,50,0,1,2,False,,10,0.102541,10
50,13,post-scale,108.075708,2.865875,0.332583,111.298666,449.24168273499345,50,60,120,1175767,50,50,0,1,2,False,,10,0.09825,10
50,14,post-scale,101.83,2.963542,0.312833,105.112083,475.6827052889819,50,60,120,1175767,50,50,0,1,2,False,,10,0.101708,10
50,15,post-restart,117.53925,3.1185,0.444917,121.115125,412.8303545903123,50,60,120,1179285,50,50,0,1,2,False,,10,0.198125,10
50,16,post-restart,111.587042,2.940917,0.384041,114.919,435.0890627311411,50,60,120,1179285,50,50,0,1,2,False,,10,0.125958,10
50,17,post-restart,135.021125,3.118875,0.413042,138.559416,360.85602439317444,50,60,120,1179285,50,50,0,1,2,False,,10,0.133,10
50,18,post-restart,108.891834,4.629958,0.306458,113.835708,439.22949027558207,50,60,120,1179285,50,50,0,1,2,False,,10,0.10475,10
50,19,post-restart,102.549834,2.739625,0.312584,105.607292,473.45215517882986,50,60,120,1179285,50,50,0,1,2,False,,10,0.09825,10
50,20,post-restart,99.008542,2.927667,0.349542,102.291458,488.7993677829873,50,60,120,1179285,50,50,0,1,2,False,,10,0.104042,10
