sample_order,benchmark,n,repetition,affected_units,inner_iterations,elapsed_ns,per_operation_ns,milliseconds,units_per_second,exact_vectors,expected_vectors,modeled_external_calls,modeled_naive_external_calls
1,fanout_subset,250,29,25,200,26533500,132667.5,0.1326675,188441.02738048128,25,25,1,150
2,fanout_total,10,34,10,500,25735167,51470.334,0.051470334,194286.67395086263,10,10,1,60
3,fanout_total,10,11,10,500,26854709,53709.418,0.053709417999999995,186187.08547540024,10,10,1,60
4,sweep,500,20,500,10,29805167,2980516.7,2.9805167000000004,167756.14778471127,500,500,6,3000
5,sweep,500,19,500,10,28852416,2885241.6,2.8852416,173295.71291360835,500,500,6,3000
6,fanout_subset,1,20,1,2000,10426792,5213.396,0.0052133959999999995,191813.5510903066,1,1,1,6
7,fanout_total,500,4,500,10,25959750,2595975.0,2.595975,192605.86099635012,500,500,1,3000
8,sweep,250,3,250,20,27946500,1397325.0,1.397325,178913.2807328288,250,250,6,1500
9,sweep,1000,15,1000,5,34205208,6841041.6,6.8410416,146176.57053861508,1000,1000,6,6000
10,sweep,100,3,100,50,28065458,561309.16,0.5613091600000001,178154.94049660617,100,100,6,600
11,fanout_total,1000,29,1000,5,27997584,5599516.8,5.5995168,178586.838064313,1000,1000,1,6000
12,fanout_total,250,33,250,20,32996875,1649843.75,1.64984375,151529.5008997064,250,250,1,1500
13,fanout_subset,10,15,1,2000,18271750,9135.875,0.009135875,109458.59044700152,1,1,1,6
14,fanout_total,500,2,500,10,30342750,3034275.0,3.034275,164784.00935973175,500,500,1,3000
15,fanout_total,250,31,250,20,27086000,1354300.0,1.3543,184597.20889020158,250,250,1,1500
16,sweep,500,10,500,10,29352375,2935237.5,2.9352375,170343.96705547677,500,500,6,3000
17,fanout_total,1,36,1,2000,10236459,5118.2295,0.005118229500000001,195380.06257828022,1,1,1,6
18,fanout_subset,10,29,1,2000,11804458,5902.229,0.005902229,169427.5162824079,1,1,1,6
19,fanout_total,25,8,25,200,40671542,203357.71,0.20335771,122936.08144977636,25,25,1,150
20,sweep,100,35,100,50,35217167,704343.34,0.70434334,141976.21290775604,100,100,6,600
21,fanout_total,25,11,25,200,57559875,287799.375,0.287799375,86866.0677251297,25,25,1,150
22,sweep,50,34,50,100,78011083,780110.83,0.7801108299999999,64093.45707968187,50,50,6,300
23,fanout_subset,1000,8,100,50,28982875,579657.5,0.5796575,172515.6665789712,100,100,1,600
24,fanout_subset,1,32,1,2000,14291125,7145.5625,0.0071455625,139946.99507561512,1,1,1,6
25,fanout_total,500,21,500,10,28148916,2814891.6,2.8148916,177626.73347705466,500,500,1,3000
26,sweep,1,12,1,2000,15449458,7724.729,0.0077247290000000005,129454.37956464232,1,1,6,6
27,sweep,1000,12,1000,5,31714208,6342841.6,6.3428416,157658.04399088258,1000,1000,6,6000
28,sweep,1000,21,1000,5,34427083,6885416.6,6.885416599999999,145234.494598337,1000,1000,6,6000
29,sweep,500,28,500,10,29321292,2932129.2,2.9321292000000003,170524.54578058835,500,500,6,3000
30,fanout_subset,1,7,1,2000,10298917,5149.4585,0.0051494585,194195.17605589016,1,1,1,6
31,fanout_subset,25,22,3,1667,24519916,14709.007798440312,0.014709007798440312,203956.65303257972,3,3,1,18
32,sweep,50,8,50,100,28375292,283752.92,0.28375291999999996,176209.64041533036,50,50,6,300
33,fanout_subset,100,32,10,500,24551000,49102.0,0.049102,203657.69215103256,10,10,1,60
34,fanout_subset,250,18,25,200,26511792,132558.96,0.13255896,188595.3239222758,25,25,1,150
35,fanout_total,250,2,250,20,25500209,1275010.45,1.27501045,196076.8243115184,250,250,1,1500
36,fanout_subset,1000,31,100,50,26436750,528735.0,0.528735,189130.66091709456,100,100,1,600
37,fanout_total,25,6,25,200,25078375,125391.875,0.125391875,199374.95950196133,25,25,1,150
38,fanout_subset,100,23,10,500,25395167,50790.334,0.050790334,196887.8566539846,10,10,1,60
39,fanout_subset,10,20,1,2000,10375208,5187.604,0.005187604,192767.21970296884,1,1,1,6
40,fanout_total,100,18,100,50,24946417,498928.34,0.49892834,200429.58473755972,100,100,1,600
41,sweep,50,36,50,100,28954417,289544.17,0.28954417,172685.2245030525,50,50,6,300
42,sweep,100,26,100,50,29356417,587128.34,0.5871283399999999,170320.5128882043,100,100,6,600
43,fanout_total,100,22,100,50,24638792,492775.84,0.49277584,202932.0268623559,100,100,1,600
44,sweep,25,20,25,200,28340375,141701.875,0.141701875,176426.74100113355,25,25,6,150
45,sweep,10,23,10,500,28758208,57516.416,0.057516416,173863.40623170958,10,10,6,60
46,fanout_total,100,32,100,50,29335459,586709.18,0.58670918,170442.19420599483,100,100,1,600
47,sweep,1000,13,1000,5,29784792,5956958.4,5.9569584,167870.90539359816,1000,1000,6,6000
48,fanout_subset,50,38,5,1000,26150625,26150.625,0.026150625,191200.01912000193,5,5,1,30
49,fanout_subset,500,18,50,100,25504125,255041.25,0.25504125,196046.71793288342,50,50,1,300
50,fanout_total,50,8,50,100,25392417,253924.17,0.25392417,196909.1796184664,50,50,1,300
51,fanout_subset,50,4,5,1000,25106417,25106.417,0.025106417000000002,199152.2725046748,5,5,1,30
52,fanout_subset,25,31,3,1667,26715959,16026.370125974805,0.016026370125974805,187191.48356231567,3,3,1,18
53,sweep,25,34,25,200,29189542,145947.71,0.14594770999999998,171294.22585664416,25,25,6,150
54,fanout_subset,100,40,10,500,25574917,51149.834,0.051149834000000005,195504.05579028858,10,10,1,60
55,fanout_subset,10,40,1,2000,10730375,5365.1875,0.0053651875,186386.77585825286,1,1,1,6
56,fanout_total,25,37,25,200,26321417,131607.085,0.13160708499999998,189959.3779468636,25,25,1,150
57,fanout_total,50,24,50,100,26044667,260446.67,0.26044667,191977.88169071233,50,50,1,300
58,fanout_total,100,25,100,50,25699208,513984.16,0.51398416,194558.52491640986,100,100,1,600
59,fanout_total,25,35,25,200,25979833,129899.165,0.12989916499999998,192456.97229847475,25,25,1,150
60,fanout_subset,50,2,5,1000,25084875,25084.875,0.025084875,199323.297405309,5,5,1,30
61,fanout_subset,250,37,25,200,26309625,131548.125,0.131548125,190044.5179283247,25,25,1,150
62,fanout_total,500,11,500,10,26841333,2684133.3,2.6841332999999996,186279.86918533445,500,500,1,3000
63,fanout_total,250,13,250,20,25743666,1287183.3,1.2871833000000001,194222.53225317638,250,250,1,1500
64,fanout_total,1000,8,1000,5,27533542,5506708.4,5.5067084,181596.68668854883,1000,1000,1,6000
65,fanout_subset,500,34,50,100,26120125,261201.25,0.26120125,191423.27994219016,50,50,1,300
66,fanout_total,500,29,500,10,26875000,2687500.0,2.6875,186046.511627907,500,500,1,3000
67,fanout_subset,25,33,3,1667,25219292,15128.54949010198,0.01512854949010198,198300.5708486979,3,3,1,18
68,sweep,250,13,250,20,28417125,1420856.25,1.42085625,175950.24127176835,250,250,6,1500
69,sweep,50,22,50,100,28189333,281893.33,0.28189333,177372.0577212664,50,50,6,300
70,sweep,250,31,250,20,28646458,1432322.9,1.4323229,174541.64839506513,250,250,6,1500
71,sweep,1000,1,1000,5,34402292,6880458.4,6.8804584,145339.15356569848,1000,1000,6,6000
72,fanout_total,250,1,250,20,25724959,1286247.95,1.28624795,194363.76944274234,250,250,1,1500
73,fanout_subset,500,30,50,100,26046208,260462.08,0.26046208,191966.5234954739,50,50,1,300
74,fanout_subset,25,9,3,1667,24711167,14823.735452909417,0.014823735452909418,202378.139405557,3,3,1,18
75,sweep,50,13,50,100,27835792,278357.92,0.27835792,179624.85134247303,50,50,6,300
76,sweep,50,21,50,100,28500625,285006.25,0.28500625,175434.74923795532,50,50,6,300
77,fanout_subset,25,28,3,1667,25045958,15024.569886022795,0.015024569886022795,199672.93724600194,3,3,1,18
78,fanout_total,25,14,25,200,25011791,125058.955,0.125058955,199905.7164678851,25,25,1,150
79,sweep,1,26,1,2000,13192958,6596.479,0.006596479000000001,151596.02569795187,1,1,6,6
80,fanout_subset,100,17,10,500,25008666,50017.332,0.050017332000000005,199930.6960235304,10,10,1,60
81,fanout_subset,500,37,50,100,26063792,260637.92,0.26063792,191837.01281839574,50,50,1,300
82,fanout_total,25,36,25,200,25630500,128152.5,0.1281525,195080.0803729931,25,25,1,150
83,fanout_total,10,14,10,500,26025917,52051.834,0.052051834000000005,192116.1894122693,10,10,1,60
84,fanout_subset,50,40,5,1000,24404292,24404.292,0.024404292,204881.99370831982,5,5,1,30
85,fanout_subset,1,2,1,2000,10706083,5353.0415,0.0053530415,186809.68567122074,1,1,1,6
86,fanout_total,1000,7,1000,5,27085875,5417175.0,5.417175,184598.06079737132,1000,1000,1,6000
87,sweep,50,25,50,100,28834375,288343.75,0.28834375,173404.14002384307,50,50,6,300
88,fanout_subset,1000,25,100,50,27355584,547111.68,0.5471116800000001,182778.03902852154,100,100,1,600
89,fanout_subset,10,30,1,2000,10484625,5242.3125,0.0052423125,190755.51104593632,1,1,1,6
90,fanout_total,250,9,250,20,26124291,1306214.55,1.30621455,191392.75396985895,250,250,1,1500
91,fanout_total,250,21,250,20,25585750,1279287.5,1.2792875,195421.2794231164,250,250,1,1500
92,fanout_subset,1,19,1,2000,10352541,5176.2705,0.0051762705,193189.28560630672,1,1,1,6
93,sweep,1,1,1,2000,13341834,6670.917,0.006670917,149904.4284316534,1,1,6,6
94,sweep,50,27,50,100,28270084,282700.84,0.28270084,176865.41009216665,50,50,6,300
95,sweep,1,22,1,2000,13476875,6738.4375,0.0067384375,148402.35588739972,1,1,6,6
96,fanout_total,1000,10,1000,5,26971833,5394366.6,5.3943666,185378.5762354379,1000,1000,1,6000
97,fanout_total,500,6,500,10,26768041,2676804.1,2.6768041,186789.91114814865,500,500,1,3000
98,sweep,1,39,1,2000,12899875,6449.9375,0.0064499375,155040.26201804282,1,1,6,6
