scenario,scenario_label,expected_class_set,cadence_seconds,observer_id,pid,polls,pre_cause_polls,post_cause_polls,adapter_error_polls,cause_to_first_alert_seconds,cause_to_first_exact_seconds,cause_to_stable_exact_seconds,effect_to_first_exact_seconds,exact_correct
S1,manual in-cluster configuration change,configuration,1.0,14130085-7439-4f0e-9d71-9062f38c80ce,66353,21,1,20,0,0.4619809999130666,1.4893691656179726,2.514237249735743,0.711253915913403,True
S1,manual in-cluster configuration change,configuration,5.0,65e80936-1a4d-4061-ab29-5b03bb40ca7f,66354,5,1,4,0,4.478262249846011,4.478262249846011,9.500850207637995,3.700147000141442,True
S1,manual in-cluster configuration change,configuration,10.0,68150b05-8fa2-4408-9ba7-09449dc9863b,66355,3,1,2,0,9.500680207740515,9.500680207740515,19.479959500022233,8.722564958035946,True
S2,expired temporary exception with persistent effect,authorization,1.0,4d62b8c2-7216-468c-beba-cc07de65174e,66620,21,8,13,0,0.5217690421268344,0.5217690421268344,1.5710450829938054,0.5190897919237614,True
S2,expired temporary exception with persistent effect,authorization,5.0,8fdf95f5-9fe6-4e75-9885-5c115389c4be,66621,5,2,3,0,2.614408750087023,2.614408750087023,7.591322417370975,2.6117294998839498,True
S2,expired temporary exception with persistent effect,authorization,10.0,87c1a638-7d88-4009-b446-9254c576ddcc,66622,3,1,2,0,2.6144388751126826,2.6144388751126826,12.612919582985342,2.6117596249096096,True
S3,policy supersession,policy,1.0,5e694498-a900-4892-8da4-b6250f48f572,67120,21,1,20,0,0.4847245002165437,0.4847245002165437,1.5829357909969985,0.36954712495207787,True
S3,policy supersession,policy,5.0,431ff4b0-43b7-4f6b-848d-5ab52e533a9c,67121,5,1,4,0,4.528380958363414,4.528380958363414,9.551730582956225,4.413203583098948,True
S3,policy supersession,policy,10.0,346e3bae-e6e8-4aaa-96c5-e227987281f3,67122,3,1,2,0,9.550965750124305,9.550965750124305,19.552514208015054,9.43578837485984,True
S4,admission-time artifact substitution,authorization,1.0,da5e6545-049a-4ca6-b643-6693a38386e5,67382,21,2,19,0,0.6753414575941861,1.70191245758906,2.6909422078169882,0.9879579995758832,True
S4,admission-time artifact substitution,authorization,5.0,e2db24ed-a78c-48d8-9830-669f2b887103,67383,5,1,4,0,3.7428575418889523,3.7428575418889523,8.734106166753918,3.0289030838757753,True
S4,admission-time artifact substitution,authorization,10.0,e6e3f808-3d07-4d84-9b64-3b8df87c4722,67384,3,1,2,0,8.734104041941464,8.734104041941464,18.778162207920104,8.020149583928287,True
S5,IAM authorization-surface expansion,environment,1.0,7f8e0016-185d-46c2-bbfb-e437caaa6426,67896,21,1,20,0,0.4715793328359723,0.4715793328359723,1.4986188751645386,0.47114524990320206,True
S5,IAM authorization-surface expansion,environment,5.0,9a0aa2af-0e56-44b3-92f4-15c0d4f9759d,67897,5,1,4,0,4.464629833120853,4.464629833120853,9.522095125168562,4.4641957501880825,True
S5,IAM authorization-surface expansion,environment,10.0,158bd7ae-a78f-4d71-97fc-210dfb6056f0,67898,3,1,2,0,9.523719583172351,9.523719583172351,19.507925250101835,9.52328550023958,True
S6,unapproved Git rollback followed by Flux convergence,authorization|intent,1.0,be7cf006-655d-400d-90bb-bf9032b13b7a,68152,21,1,20,0,0.4935862082056701,1.4706835001707077,2.4887599172070622,-4.092311542015523,True
S6,unapproved Git rollback followed by Flux convergence,authorization|intent,5.0,f17378a2-ff31-485c-8547-0840aefa696a,68153,5,1,4,0,4.539520208258182,4.539520208258182,9.547788083087653,-1.0234748339280486,True
S6,unapproved Git rollback followed by Flux convergence,authorization|intent,10.0,28293017-cebf-4f3d-a044-46e07be9bf69,68154,3,1,2,0,9.547744458075613,9.547744458075613,19.499972583260387,3.9847494158893824,True
S7,out-of-band load-balancer change,environment,1.0,79e7af14-ef13-4020-912c-12e2822cdf56,68701,21,1,20,0,0.4380972501821816,0.4380972501821816,1.40113729191944,0.43765000021085143,True
S7,out-of-band load-balancer change,environment,5.0,23e5015a-35b5-4793-ba89-8ed01f3f4c81,68702,5,1,4,0,4.397787000052631,4.397787000052631,9.406706917099655,4.397339750081301,True
S7,out-of-band load-balancer change,environment,10.0,02d80d8e-6559-4fff-b3bf-87a67037b116,68703,3,1,2,0,9.406711167190224,9.406711167190224,19.463604500051588,9.406263917218894,True
S8,live authorization identity mismatch,authorization,1.0,6931df3f-9e5b-4ba8-9b47-e994e0efaba9,68944,21,1,20,0,0.7549060420133173,0.7549060420133173,1.775371250230819,0.7544259577989578,True
S8,live authorization identity mismatch,authorization,5.0,a7d643ac-4ac3-47d3-9508-5e454865e810,68945,5,1,4,0,4.754514084197581,4.754514084197581,9.76486233389005,4.754033999983221,True
S8,live authorization identity mismatch,authorization,10.0,697e8511-3954-47a3-b2d0-0867443fef3e,68946,3,1,2,0,9.764251166954637,9.764251166954637,19.81145262531936,9.763771082740277,True
S9,missing live continuing-authorization status,evidence,1.0,14dfb5ec-91ab-452e-b74f-36ac2de0f0ea,69428,21,1,20,0,0.7849837499670684,0.7849837499670684,1.8734812079928815,0.784407916944474,True
S9,missing live continuing-authorization status,evidence,5.0,edb6a635-bbae-4eb4-add7-780511858c0d,69429,5,1,4,0,4.8318962077610195,4.8318962077610195,9.828374207951128,4.831320374738425,True
S9,missing live continuing-authorization status,evidence,10.0,86399091-2ee2-4c06-98e7-bc455119bd66,69430,3,1,2,0,9.826962042134255,9.826962042134255,19.823323416989297,9.82638620911166,True
